start_time	end_time
0.437175179686164	0.738153774640523
2.9669952635013	3.25997442734661
3.80293581291335	4.169909714401
4.60287892242195	5.22383476118557
5.58480908934143	5.89578697315301
9.59652378348983	9.9135012406332
10.6624479769089	10.9874248651322
12.270333627006	12.6473068173509
12.7023029061384	13.1912681318063
13.8862187082123	14.1492000054568
16.3140460455325	16.7530148268852
17.9839272866375	18.556886538805
18.799869258306	19.17684244868
19.1878416664258	19.4148255237378
21.5696722749562	21.9026485942886
23.8215121282265	24.1544884475588
26.2653383277357	26.5703166382445
27.8412262534548	28.1702028572618
30.125063831103	30.4240425682801
30.7670181764697	31.885938600899
32.1029231693537	32.8878673455329
34.3807611736411	34.6677407641837
36.0286439792253	36.3436215785914
37.4765410074324	37.7995180378784
39.7283808606735	39.9313664247165
40.2063468685956	40.5533221923397
41.7742353632348	42.1212106869789
44.5580373842968	44.8850141302973
46.1179264478269	46.4689014871255
48.8777301756199	49.2187059260323
51.4755454237165	51.8185210319061
54.4313352133322	54.7723109637445
56.7891675285937	57.1221438479261
57.8370930020465	58.1680694636016
58.9350149198144	59.3699839856126
59.6089669895882	60.0659344908781
60.8648776714981	61.1958541330532
61.7608139541408	62.6897478900501
63.186712546827	63.5176890083821
69.5082629696699	69.823240569036
70.598185456387	70.9091633401986
72.324062715139	72.6570390344423
75.6298276151356	75.9348059256445
76.8357418527303	77.1627185987309
78.7216077333724	79.0205864705495
80.3754901122593	80.7364644404443
82.115366375423	82.4703411302762
84.0532285582158	84.3942043086281
86.1330806429032	86.4540578156011
87.9149539193313	88.2519299542182
89.0048764060193	89.3478520142089
90.7987488290819	91.1157262862253
91.7946780004131	92.1896499107243
93.1905787264986	93.5495531968772
95.9863798941951	96.3293555024138
97.0103070743789	97.3512828247913
97.9002437836898	98.9051723149896
99.7121149267186	100.011093663896
100.808036986738	101.15701216826
102.073946957506	102.444920574548
104.315787521889	104.6807615656
106.09566094054	106.482633419771
107.395568493492	107.740543959459
108.189512029669	108.404496740346
108.871463530522	109.100447245612
109.105446890055	110.272363901022
111.191298548074	111.556272591784
112.781185478205	113.148159379693
115.135018077912	115.501991979399
116.580915248342	116.861895265552
118.120805734128	118.487779635616
119.53470518018	119.881680503924
120.762617853266	121.127591896977
123.762404513895	124.095380833227
126.744192454586	127.113166213821
129.258013676183	129.57899084888
131.721838453464	132.084812639398
133.547708600905	133.88668449354
134.593634216551	134.818618216115
135.021603780158	135.364579388348
136.629489430255	136.85447342979
136.969465251779	137.404434317577
137.639417605998	138.070386956242
139.095314065285	139.462287966773
140.55321038235	140.86418826619
142.155096459144	142.472073916288
143.804979122477	144.143955015141
145.686845287593	146.043819900195
147.1347423158	147.471718350658
149.350584729109	149.663562470698
150.456506077986	150.799481686205
151.982397559361	152.319373594248
153.500289609656	153.843265217845
154.832194886985	155.157171775209
155.954115098051	156.327088572871
157.332017104171	157.684992001246
158.681921101466	158.994898843055
159.705848281621	160.026825454319
160.907762803661	161.234739549662
162.181672205537	162.516648382647
163.695564540278	164.000542850757
165.475437958899	165.84041200261
167.017328302463	167.310307466338
168.011257616017	168.334234646492
169.851126767899	170.25409810929
171.808987528406	172.119965412217
173.010902050417	173.377875951905
174.12682268818	174.439800429769
176.566649172164	176.895625775942
178.870485327527	179.201461789082
179.920410658757	180.257386693615
181.664286637475	181.949266370211
182.858201728406	183.163180038886
184.01211966385	184.363094703149
185.745996353711	186.054974379746
186.91191343579	187.126898146467
187.769852420752	188.28081608194
188.34981117514	188.628791334573
188.629791263462	188.852775405219
188.865774480772	189.114756773604
189.309742906538	189.882702158706
190.729641925893	191.054618814145
191.849562279211	192.240534473967
193.211465423141	193.52444316473
194.279389474308	194.674361384619
195.741285506927	196.042264101881
197.313173717092	197.696146480768
198.247107297444	198.624080487789
198.995054104831	199.428023312852
201.486876890936	201.833852214681
203.316746753932	203.647723215487
204.026696263609	204.761643995444
206.452523743181	206.771501058072
207.604441820848	208.073408468801
208.730361747468	209.065337924578
210.268252375507	210.635226276965
212.088122949615	212.735076939425
213.901993950421	214.324963869556
215.883853004198	216.412815385353
217.805716324772	218.162690937403
218.889639238158	219.278611575166
220.069555324677	220.426529937278
220.745507252199	221.102481864829
221.145478806953	221.362463375408
221.801432156732	222.234401364753
222.333394324553	223.182333949517
223.711296330672	224.554236382333
227.095055683865	227.446030723164
228.898927395814	229.441888781381
230.616805223457	230.939782253932
232.44067551312	232.811649130163
234.604521624336	234.939497801446
236.070417372481	236.427391985111
237.380324214319	237.78329555571
240.710087407613	241.103059460147
243.905860130064	244.250835596031
245.685733548715	246.044708019093
247.369613794202	247.7745849934
248.499533436378	248.898505062243
250.557387085573	250.904362409317
252.085278424725	252.438253321801
253.377186546568	253.70216343482
255.093064516463	255.418041404686
256.212984869751	256.703949953226
257.874866679747	258.175845274702
259.490751760954	259.831727511366
